activate,drop,no_high_sec,avg_net,median_net,avg_capture,median_capture,wins,worst
7,0.75,15,5.630700771251908,5.609876543209869,-37.065440198835525,70.89920948616601,13,-17.898165137614686
5,0.75,45,5.489189046403662,4.730421377183947,-37.35069170076981,74.87647058823492,13,-17.898165137614686
7,0.5,45,5.885228161781356,5.842947702060231,-37.9250445907621,68.12857142857136,13,-17.898165137614686
5,0.5,30,5.110669890999626,4.399274310595048,-38.03925771091579,63.205263157894635,13,-17.898165137614686
7,0.75,45,5.866671843354932,5.842947702060231,-38.1512889346535,68.12857142857136,13,-17.898165137614686
7,0.5,120,6.207313171122127,5.764197530864202,-38.25630512645116,72.4315789473685,13,-17.898165137614686
7,0.75,120,6.207313171122127,5.764197530864202,-38.25630512645116,72.4315789473685,13,-17.898165137614686
7,1,120,6.207313171122127,5.764197530864202,-38.25630512645116,72.4315789473685,13,-17.898165137614686
5,0.5,15,5.110589268340791,4.5218487394958045,-38.27726474860652,70.89920948616601,13,-17.898165137614686
5,0.75,30,5.093594846177633,4.108998548621179,-38.375392164697296,63.205263157894635,13,-17.898165137614686
7,0.5,30,5.538054505797972,5.763708399366097,-38.481699026884506,66.08775510204073,13,-17.898165137614686
7,1,15,5.505676387264964,5.609876543209869,-38.55580604214255,70.89920948616601,13,-17.898165137614686
5,1,45,5.504224084756583,4.924311183144259,-38.57935674058035,72.76233766233761,13,-17.898165137614686
7,1,45,5.831781116908731,5.842947702060231,-38.61735228306978,68.12857142857136,13,-17.898165137614686
5,1,30,5.07651980135564,3.8187227866472884,-38.71152661847883,63.205263157894635,13,-17.898165137614686
7,0.75,30,5.520979460975979,5.763708399366097,-38.71699314453157,66.08775510204073,13,-17.898165137614686
3,0.5,60,4.801325893948168,3.008252947481227,-39.02096346351099,61.015217391303985,14,-17.898165137614686
7,1,30,5.4953668937429905,5.763708399366097,-39.06993432100215,66.08775510204073,13,-17.898165137614686
5,0.75,15,5.065679745879163,4.5218487394958045,-39.11173964001235,70.89920948616601,13,-17.898165137614686
7,1.5,120,6.12325699992245,5.758170606372038,-39.159020058577866,72.4315789473685,13,-17.898165137614686
3,0.75,60,4.78304937660145,3.008252947481227,-39.52516514418324,61.015217391303985,14,-17.898165137614686
5,0.5,60,5.552512055277632,5.507476635514042,-39.709514865135866,72.76233766233761,13,-17.898165137614686
7,0.5,60,5.867434180347631,5.758170606372038,-39.80830872075861,70.62199999999979,13,-17.898165137614686
5,0.75,60,5.516880692029217,5.507476635514042,-40.27189366280877,72.76233766233761,13,-17.898165137614686
7,0.75,60,5.8271717625072705,5.758170606372038,-40.27965110386571,70.62199999999979,13,-17.898165137614686
7,1.5,15,5.392949770403045,5.248460291734192,-40.431792200769365,68.18695652173902,13,-17.898165137614686
7,1,60,5.808615444080846,5.758170606372038,-40.50589544775711,70.62199999999979,13,-17.898165137614686
7,1.5,45,5.6644477426612765,5.420504731861209,-40.714260277036594,66.08846153846171,13,-17.898165137614686
5,1,15,4.9491928843032165,4.0996830427892155,-40.85334856428383,63.205263157894635,13,-17.898165137614686
7,0.5,90,5.830522915831053,5.4467511885895386,-41.01591426778976,61.16249999999986,13,-17.898165137614686
7,0.75,90,5.830522915831053,5.4467511885895386,-41.01591426778976,61.16249999999986,13,-17.898165137614686
7,1,90,5.830522915831053,5.4467511885895386,-41.01591426778976,61.16249999999986,13,-17.898165137614686
7,2,120,6.830717837493176,4.992592592592582,-41.08835297299236,67.39999999999996,13,-17.898165137614686
7,1.5,30,5.366452594445855,5.420504731861209,-41.18258682905105,66.08775510204073,13,-17.898165137614686
